iana-etc (20220427-1)
filesystem (2021.12.07-1)
linux-api-headers (5.17.5-2)
tzdata (2022a-1)
glibc (2.35-5)
gcc-libs (12.1.0-1)
ncurses (6.3-3)
readline (8.1.002-1)
bash (5.1.016-1)
attr (2.5.1-2)
acl (2.3.1-2)
gmp (6.2.1-1)
util-linux-libs (2.38-1)
e2fsprogs (1.46.5-3)
gdbm (1.23-1)
openssl (1.1.1.o-1)
libsasl (2.1.28-1)
libldap (2.6.1-1)
keyutils (1.6.3-1)
krb5 (1.19.3-1)
libtirpc (1.3.2-1)
pambase (20211210-1)
libcap-ng (0.8.3-1)
audit (3.0.8-1)
libxcrypt (4.4.28-2)
pam (1.5.2-1)
libcap (2.64-1)
coreutils (9.1-1)
zlib (1:1.2.12-2)
xz (5.2.5-3)
bzip2 (1.0.8-4)
libseccomp (2.5.4-1)
file (5.41-1)
findutils (4.9.0-1)
mpfr (4.1.0.p13-2)
gawk (5.1.1-1)
pcre (8.45-1)
grep (3.7-1)
libgpg-error (1.45-1)
libgcrypt (1.10.1-1)
libtasn1 (4.18.0-1)
libffi (3.4.2-5)
libp11-kit (0.24.1-1)
lz4 (1:1.9.3-2)
zstd (1.5.2-3)
systemd-libs (250.5-1)
procps-ng (3.3.17-1)
sed (4.8-1)
tar (1.34-1)
libunistring (1.0-1)
icu (71.1-1)
libxml2 (2.9.14-1)
gettext (0.21-2)
hwdata (0.359-1)
kmod (29-3)
pciutils (3.8.0-1)
psmisc (23.5-1)
shadow (4.11.1-1)
util-linux (2.38-1)
pcre2 (10.40-1)
less (1:590-1)
gzip (1.12-1)
licenses (20220125-1)
expat (2.4.8-1)
libarchive (3.6.1-1)
p11-kit (0.24.1-1)
ca-certificates-utils (20210603-1)
ca-certificates-mozilla (3.78-1)
ca-certificates (20210603-1)
brotli (1.0.9-8)
libidn2 (2.3.2-1)
libnghttp2 (1.47.0-1)
libpsl (0.21.1-1)
libssh2 (1.10.0-1)
curl (7.83.1-1)
npth (1.6-3)
libksba (1.6.0-1)
libassuan (2.5.5-1)
libsysprof-capture (3.44.0-1)
glib2 (2.72.1-1)
json-c (0.16-1)
tpm2-tss (3.2.0-1)
libsecret (0.20.5-2)
pinentry (1.2.0-1)
nettle (3.7.3-1)
gnutls (3.7.5-1)
sqlite (3.38.5-1)
gnupg (2.2.35-2)
gpgme (1.17.1-1)
pacman-mirrorlist (20220501-1)
archlinux-keyring (20220424-1)
pacman (6.0.1-5)
device-mapper (2.03.15-1)
popt (1.18-3)
argon2 (20190702-4)
cryptsetup (2.4.3-2)
dbus (1.14.0-1)
libmnl (1.0.5-1)
libnftnl (1.2.1-1)
libnl (3.6.0-3)
libpcap (1.10.1-2)
libnfnetlink (1.0.2-1)
libnetfilter_conntrack (1.0.9-1)
iptables (1:1.8.7-1)
kbd (2.4.0-2)
libelf (0.187-1)
systemd (250.5-1)
systemd-sysvcompat (250.5-1)
iputils (20211215-1)
libbpf (0.7.0-1)
iproute2 (5.17.0-3)
base (2-2)
m4 (1.4.19-1)
diffutils (3.8-1)
db (5.3.28-5)
perl (5.34.1-1)
autoconf (2.71-1)
automake (1.16.5-1)
binutils (2.38-5)
bison (3.8.2-4)
fakeroot (1.28-1)
flex (2.6.4-3)
libmpc (1.2.1-2)
libisl (0.24-4)
gcc (12.1.0-1)
groff (1.22.4-7)
libtool (2.4.7-2)
texinfo (6.8-2)
gc (8.2.0-3)
guile (2.2.7-2)
make (4.3-3)
patch (2.7.6-8)
pkgconf (1.8.0-1)
sudo (1.9.10-1)
which (2.21-5)
linux-firmware-whence (20220509.b19cbdc-1)
linux-firmware (20220509.b19cbdc-1)
mkinitcpio-busybox (1.35.0-1)
mkinitcpio (31-2)
linux (5.17.7.arch1-1)
intel-ucode (20220510-1)
zram-generator (1.1.2-1)
grub (2:2.06-5)
efivar (38-2)
efibootmgr (17-2)
nspr (4.33-2)
nss (3.78-1)
jansson (2.14-2)
libnm (1.36.4-1)
wpa_supplicant (2:2.10-4)
libmm-glib (1.18.8-1)
gpm (1.20.7.r38.ge82d1a6-4)
slang (2.3.2-2)
libnewt (0.52.21-8)
libndp (1.8-1)
libdaemon (0.14-5)
libsodium (1.0.18-2)
libpgm (5.3.128-2)
zeromq (4.3.4-2)
libteam (1.31-5)
bluez-libs (5.64-2)
mobile-broadband-provider-info (20220511-1)
networkmanager (1.36.4-1)
libasyncns (0.8+3+g68cd5af-3)
xcb-proto (1.15-1)
libxdmcp (1.1.3-3)
libxau (1.0.9-3)
libxcb (1.15-1)
libice (1.0.10-3)
libsm (1.2.3-2)
opus (1.3.1-3)
